,Model,Tool,Context_Length,Length,Length,Length,Length,Length
,,,,mean,median,min,max,count
0,fine_tuned,Phanotate,1000,561.0,669.0,156,858,3
1,fine_tuned,Phanotate,5000,325.07142857142856,240.0,93,1707,28
2,fine_tuned,Phanotate,10000,406.73333333333335,240.0,90,1731,45
3,fine_tuned,Phanotate,25000,403.58035714285717,307.5,90,1926,112
4,fine_tuned,Phanotate,50000,375.5532786885246,271.5,90,3360,244
5,fine_tuned,Prokka,1000,563.0,654.0,177,858,3
6,fine_tuned,Prokka,5000,432.3333333333333,322.5,123,1707,18
7,fine_tuned,Prokka,10000,537.6,361.5,153,1704,30
8,fine_tuned,Prokka,25000,470.13793103448273,366.0,93,1926,87
9,fine_tuned,Prokka,50000,461.3333333333333,351.0,93,3333,171
10,pre_train,Phanotate,1000,381.0,444.0,156,537,5
11,pre_train,Phanotate,5000,483.0,357.0,93,1764,19
12,pre_train,Phanotate,10000,477.1578947368421,403.5,99,1494,38
13,pre_train,Phanotate,25000,348.25984251968504,276.0,90,1344,127
14,pre_train,Phanotate,50000,496.65625,315.0,90,5091,192
15,pre_train,Prokka,1000,339.0,297.0,249,471,3
16,pre_train,Prokka,5000,619.5,412.5,96,1764,12
17,pre_train,Prokka,10000,528.6774193548387,483.0,129,1533,31
18,pre_train,Prokka,25000,428.76666666666665,358.5,108,1344,90
19,pre_train,Prokka,50000,653.1203007518797,483.0,90,5034,133
