,Model,Context_Length,Log_Likelihood,Log_Likelihood,Log_Likelihood,Log_Likelihood
,,,mean,median,min,max
0,fine_tuned,1000,-33995.05406933333,-39933.7,-62043.28,-8.182208
1,fine_tuned,10000,-355404970275291.25,-81.73087,-8363749000000000.0,-0.07202744
2,fine_tuned,25000,-115742153.8439438,-182.70075,-6917765000.0,-0.1359024
3,fine_tuned,5000,-3772700004382852.5,-52.926730000000006,-1.056356e+17,-0.04265925
4,fine_tuned,50000,-1.4270072584550858e+17,-111.79965,-3.481897e+19,-0.06672193
5,pre_train,1000,-19076.1884074,-14308.08,-66284.73,-9.491287
6,pre_train,10000,-13202247801.751165,-499.53280000000007,-407373100000.0,-0.3753703
7,pre_train,25000,-1711730431.7832236,-118.8117,-217225200000.0,-0.06918978
8,pre_train,5000,-1186083543330.991,-685.2031,-22534600000000.0,-0.07577734
9,pre_train,50000,-1.8189093750000087e+25,-27.441830000000003,-3.492306e+27,-0.06121452
