Model,Tool,Context_Length,+,-,Total,Percent_Plus,Percent_Minus
fine_tuned,Phanotate,1000,0,3,3,0.0,100.0
fine_tuned,Phanotate,5000,21,7,28,75.0,25.0
fine_tuned,Phanotate,10000,26,19,45,57.8,42.2
fine_tuned,Phanotate,25000,35,77,112,31.2,68.8
fine_tuned,Phanotate,50000,169,75,244,69.3,30.7
fine_tuned,Prokka,1000,0,3,3,0.0,100.0
fine_tuned,Prokka,5000,14,4,18,77.8,22.2
fine_tuned,Prokka,10000,20,10,30,66.7,33.3
fine_tuned,Prokka,25000,24,63,87,27.6,72.4
fine_tuned,Prokka,50000,129,42,171,75.4,24.6
pre_train,Phanotate,1000,5,0,5,100.0,0.0
pre_train,Phanotate,5000,7,12,19,36.8,63.2
pre_train,Phanotate,10000,21,17,38,55.3,44.7
pre_train,Phanotate,25000,55,72,127,43.3,56.7
pre_train,Phanotate,50000,79,113,192,41.1,58.9
pre_train,Prokka,1000,3,0,3,100.0,0.0
pre_train,Prokka,5000,3,9,12,25.0,75.0
pre_train,Prokka,10000,15,16,31,48.4,51.6
pre_train,Prokka,25000,36,54,90,40.0,60.0
pre_train,Prokka,50000,56,77,133,42.1,57.9
