Model,Context_Length,Strand,Log_Likelihood
pre_train,10000,+,-0.4688332
pre_train,10000,-,-154.4191
pre_train,10000,-,-10.01725
pre_train,10000,-,-327.4872
pre_train,10000,-,-25.8352
pre_train,10000,-,-44552.27
pre_train,10000,-,-78842070.0
pre_train,10000,-,-11.18601
pre_train,10000,-,-93673230000.0
pre_train,10000,-,-318761500.0
pre_train,10000,-,-9.278274
pre_train,10000,-,-1329.881
pre_train,10000,-,-5.039177
pre_train,10000,-,-129.5226
pre_train,10000,-,-9920.073
pre_train,10000,-,-40.87073
pre_train,10000,+,-447.3407
pre_train,50000,-,-1.979233
pre_train,50000,-,-35.65744
pre_train,50000,-,-20170.43
pre_train,50000,-,-11654.95
pre_train,50000,-,-205346.1
pre_train,50000,-,-2201.011
pre_train,50000,-,-40.63791
pre_train,50000,-,-0.2993981
pre_train,50000,-,-71411.9
pre_train,50000,-,-61.32717
pre_train,50000,-,-0.2151032
pre_train,50000,-,-98289.8
pre_train,50000,-,-977453.6
pre_train,50000,+,-6.750907
pre_train,50000,+,-4.269936
pre_train,50000,-,-0.06121452
pre_train,50000,-,-1845.762
pre_train,50000,-,-2.954998
pre_train,50000,-,-31209760000.0
pre_train,50000,-,-150.3055
pre_train,50000,-,-494.4124
pre_train,50000,-,-11.75911
pre_train,50000,-,-9.464533
pre_train,50000,-,-15.92144
pre_train,50000,-,-11709.95
pre_train,50000,-,-36.41094
pre_train,50000,-,-2.088387
pre_train,50000,-,-125.9009
pre_train,50000,-,-15.62099
pre_train,50000,-,-11.45471
pre_train,50000,+,-11.28641
pre_train,50000,+,-17.17368
pre_train,50000,+,-28.38192
pre_train,50000,+,-3.973929
pre_train,50000,+,-1.854494
pre_train,50000,-,-4.832491
pre_train,50000,-,-153.0312
pre_train,50000,-,-18.09943
pre_train,50000,-,-0.1925669
pre_train,50000,-,-26.50174
pre_train,50000,-,-33.01748
pre_train,50000,+,-225806.6
pre_train,50000,+,-0.5775715
pre_train,50000,+,-1332.656
pre_train,50000,+,-0.2528819
pre_train,50000,+,-0.4462705
pre_train,50000,+,-19722.14
pre_train,50000,+,-58.63928
pre_train,50000,-,-1.70173
pre_train,50000,-,-1.64713
pre_train,50000,-,-4.18859
pre_train,50000,-,-2.785156
pre_train,50000,-,-6.923246
pre_train,50000,-,-1.349432
pre_train,50000,-,-2.886454
pre_train,50000,-,-1.148477
pre_train,50000,-,-2.51145
pre_train,50000,-,-7.411152
pre_train,50000,+,-6.667039
pre_train,50000,+,-0.1438889
pre_train,50000,+,-3142665000.0
pre_train,50000,+,-191324900000.0
pre_train,50000,+,-260.3207
pre_train,50000,+,-62829280.0
pre_train,50000,+,-3.229011
pre_train,50000,+,-122.9174
pre_train,50000,+,-13.75384
pre_train,50000,+,-174.6736
pre_train,50000,+,-99.04699
pre_train,50000,+,-359.4074
pre_train,50000,+,-6.716036
pre_train,50000,+,-0.1436573
pre_train,50000,+,-0.1448309
pre_train,50000,+,-0.07393719
pre_train,50000,+,-0.1436672
pre_train,50000,+,-0.2384752
pre_train,50000,+,-3881.415
pre_train,50000,-,-2.823631
pre_train,50000,-,-2.110011
pre_train,50000,-,-136.4767
pre_train,50000,+,-210.2528
pre_train,50000,+,-456.3062
pre_train,50000,+,-14.35491
pre_train,50000,+,-8.443008
pre_train,50000,+,-947.0783
pre_train,50000,+,-174.067
pre_train,50000,+,-8.813789
pre_train,50000,+,-25.67711
pre_train,50000,+,-2.344158
pre_train,50000,+,-861.0519
pre_train,50000,+,-26.44659
pre_train,50000,+,-0.6629897
pre_train,50000,+,-19.82735
pre_train,50000,-,-733.3942
pre_train,50000,-,-0.1663659
pre_train,50000,-,-392.9158
pre_train,50000,-,-18.0716
pre_train,50000,-,-0.06760242
pre_train,50000,+,-414.9873
pre_train,50000,+,-8.162346
pre_train,50000,+,-4.269985
pre_train,50000,+,-0.1787339
pre_train,50000,+,-3657.791
pre_train,50000,+,-19.97157
pre_train,50000,+,-829.1504
pre_train,50000,+,-252.9999
pre_train,50000,+,-2203.549
pre_train,50000,-,-1199579.0
pre_train,50000,-,-3.495042
pre_train,50000,+,-0.106203
pre_train,50000,-,-12.64034
pre_train,25000,-,-50.70209
pre_train,25000,-,-47.48474
pre_train,25000,-,-138.2391
pre_train,25000,-,-114.7138
pre_train,25000,-,-1.933248
pre_train,25000,-,-22.21338
pre_train,25000,-,-118.8117
pre_train,25000,-,-1282.468
pre_train,25000,-,-1.28555
pre_train,25000,-,-516.5921
pre_train,25000,-,-0.1758495
pre_train,25000,-,-534.4075
pre_train,25000,+,-0.2859679
pre_train,25000,+,-2.660155
pre_train,25000,-,-2480.574
pre_train,25000,-,-138.5434
pre_train,25000,-,-75.74012
pre_train,25000,-,-0.1028389
pre_train,25000,-,-1356.869
pre_train,25000,-,-2555.804
pre_train,25000,-,-654738.0
pre_train,25000,+,-0.2859635
pre_train,25000,+,-1.296537
pre_train,25000,-,-6104.192
pre_train,25000,-,-44.21042
pre_train,25000,-,-1.283034
pre_train,25000,-,-0.118724
pre_train,25000,-,-142.5991
pre_train,25000,-,-217225200000.0
pre_train,25000,-,-1358.026
pre_train,25000,-,-2326.009
pre_train,25000,-,-119.6146
pre_train,25000,-,-310.9016
pre_train,25000,-,-57.37867
pre_train,25000,-,-61.169
pre_train,25000,-,-240.7029
pre_train,25000,-,-4577.22
pre_train,25000,-,-1732659.0
pre_train,25000,-,-0.08331998
pre_train,25000,-,-1456.132
pre_train,25000,-,-18118110.0
pre_train,25000,-,-4.35594
pre_train,25000,-,-4236750.0
pre_train,25000,-,-3678.275
pre_train,25000,-,-8.530493
pre_train,25000,-,-80.05304
pre_train,25000,-,-16.49635
pre_train,25000,-,-617.3809
pre_train,25000,-,-39349480.0
pre_train,25000,-,-723824.4
pre_train,25000,-,-1.339267
