Model,Context_Length,Avg_Log_Likelihood,Plus_Strand_Percent,Gene_Count
pre_train,10000,-5533581796.099358,11.76470588235294,17
pre_train,50000,-2033720888.2873397,50.45045045045045,111
pre_train,25000,-3449048403.236723,7.936507936507936,63
pre_train,5000,-4523.997759088571,50.0,14
pre_train,25000,-1558053.6336842924,78.125,64
pre_train,5000,-4507117451990.572,0.0,5
pre_train,50000,-4.311488888888909e+25,28.39506172839506,81
pre_train,1000,-40482.03,100.0,2
pre_train,1000,-4805.627345666667,100.0,3
pre_train,10000,-19410215520.612152,90.47619047619048,21
fine_tuned,10000,-40673867410.56376,82.6086956521739,23
fine_tuned,10000,-726922189247166.5,31.818181818181817,22
fine_tuned,1000,-62043.28,0.0,1
fine_tuned,25000,-254999953.64822665,4.166666666666666,48
fine_tuned,25000,-11298803.99073166,51.5625,64
fine_tuned,5000,-9380.233017907143,71.42857142857143,14
fine_tuned,1000,-19970.941103999998,0.0,2
fine_tuned,5000,-7545400008756326.0,78.57142857142857,14
fine_tuned,50000,-2.9015808333935994e+17,51.66666666666667,120
fine_tuned,50000,-57303071729.686104,86.29032258064517,124
