#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
3	104	+	contig_0	-3.145233E+00
141	317	+	contig_0	-7.568044E+00
338	559	+	contig_0	-3.244993E+01
505	621	+	contig_0	-4.943657E-01
762	1196	+	contig_0	-7.186275E+01
1267	1452	+	contig_0	-2.605872E+01
1482	1601	+	contig_0	-1.518028E+01
1870	1583	-	contig_0	-3.533768E+00
1854	2333	+	contig_0	-1.402196E+03
2424	2648	+	contig_0	-8.173087E+01
2665	4104	+	contig_0	-9.333814E+11
4193	4420	+	contig_0	-1.233327E+02
4437	4760	+	contig_0	-3.252753E+03
4760	5470	+	contig_0	-5.553315E+06
5458	5574	+	contig_0	-3.021122E-01
5618	6616	+	contig_0	-1.936406E+09
6674	7612	+	contig_0	-1.755455E+08
7663	8208	+	contig_0	-1.052961E+04
8459	8370	-	contig_0	-7.364969E-02
8433	8837	+	contig_0	-6.846608E+03
9150	8935	-	contig_0	-5.278919E-01
9342	9223	-	contig_0	-3.049239E+00
9456	9911	+	contig_0	-2.322749E+04
