Model,Context_Length,Start,Stop,Strand,Contig,Length,Log_Likelihood
pre_train,10000,234,479,+,contig_0,246,-0.4688332
pre_train,10000,958,644,-,contig_0,315,-154.4191
pre_train,10000,1162,1016,-,contig_0,147,-10.01725
pre_train,10000,1777,1274,-,contig_0,504,-327.4872
pre_train,10000,2032,1793,-,contig_0,240,-25.8352
pre_train,10000,2928,2074,-,contig_0,855,-44552.27
pre_train,10000,4037,3075,-,contig_0,963,-78842070.0
pre_train,10000,4160,4062,-,contig_0,99,-11.18601
pre_train,10000,5580,4153,-,contig_0,1428,-93673230000.0
pre_train,10000,7016,5598,-,contig_0,1419,-318761500.0
pre_train,10000,7465,7127,-,contig_0,339,-9.278274
pre_train,10000,8072,7428,-,contig_0,645,-1329.881
pre_train,10000,8308,8129,-,contig_0,180,-5.039177
pre_train,10000,8777,8475,-,contig_0,303,-129.5226
pre_train,10000,9376,8777,-,contig_0,600,-9920.073
pre_train,10000,9675,9385,-,contig_0,291,-40.87073
pre_train,10000,9739,9999,+,contig_0,261,-447.3407
pre_train,50000,501,64,-,contig_0,438,-1.979233
pre_train,50000,1027,641,-,contig_0,387,-35.65744
pre_train,50000,1901,981,-,contig_0,921,-20170.43
pre_train,50000,2957,1908,-,contig_0,1050,-11654.95
pre_train,50000,4330,2966,-,contig_0,1365,-205346.1
pre_train,50000,5118,4327,-,contig_0,792,-2201.011
pre_train,50000,5765,5115,-,contig_0,651,-40.63791
pre_train,50000,6025,5765,-,contig_0,261,-0.2993981
pre_train,50000,7055,6144,-,contig_0,912,-71411.9
pre_train,50000,7489,7064,-,contig_0,426,-61.32717
pre_train,50000,7730,7533,-,contig_0,198,-0.2151032
pre_train,50000,8706,7696,-,contig_0,1011,-98289.8
pre_train,50000,10232,8646,-,contig_0,1587,-977453.6
pre_train,50000,10265,10444,+,contig_0,180,-6.750907
pre_train,50000,10472,10981,+,contig_0,510,-4.269936
pre_train,50000,11150,11007,-,contig_0,144,-0.06121452
pre_train,50000,11862,11140,-,contig_0,723,-1845.762
pre_train,50000,11974,11852,-,contig_0,123,-2.954998
pre_train,50000,14616,11974,-,contig_0,2643,-31209760000.0
pre_train,50000,15059,14604,-,contig_0,456,-150.3055
pre_train,50000,15925,15116,-,contig_0,810,-494.4124
pre_train,50000,16179,15925,-,contig_0,255,-11.75911
pre_train,50000,16349,16161,-,contig_0,189,-9.464533
pre_train,50000,16579,16376,-,contig_0,204,-15.92144
pre_train,50000,17352,16576,-,contig_0,777,-11709.95
pre_train,50000,17618,17349,-,contig_0,270,-36.41094
pre_train,50000,17851,17672,-,contig_0,180,-2.088387
pre_train,50000,18165,17851,-,contig_0,315,-125.9009
pre_train,50000,18484,18179,-,contig_0,306,-15.62099
pre_train,50000,18704,18477,-,contig_0,228,-11.45471
pre_train,50000,18749,18979,+,contig_0,231,-11.28641
pre_train,50000,18993,19223,+,contig_0,231,-17.17368
pre_train,50000,19220,19360,+,contig_0,141,-28.38192
pre_train,50000,19321,19413,+,contig_0,93,-3.973929
pre_train,50000,19575,19733,+,contig_0,159,-1.854494
pre_train,50000,19832,19707,-,contig_0,126,-4.832491
pre_train,50000,20279,19890,-,contig_0,390,-153.0312
pre_train,50000,20503,20306,-,contig_0,198,-18.09943
pre_train,50000,20740,20507,-,contig_0,234,-0.1925669
pre_train,50000,20987,20781,-,contig_0,207,-26.50174
pre_train,50000,21332,21006,-,contig_0,327,-33.01748
pre_train,50000,21370,22476,+,contig_0,1107,-225806.6
pre_train,50000,22482,22667,+,contig_0,186,-0.5775715
pre_train,50000,22728,23303,+,contig_0,576,-1332.656
pre_train,50000,23375,23497,+,contig_0,123,-0.2528819
pre_train,50000,23494,23709,+,contig_0,216,-0.4462705
pre_train,50000,23706,24536,+,contig_0,831,-19722.14
pre_train,50000,24591,24806,+,contig_0,216,-58.63928
pre_train,50000,25037,24924,-,contig_0,114,-1.70173
pre_train,50000,25261,25070,-,contig_0,192,-1.64713
pre_train,50000,25413,25297,-,contig_0,117,-4.18859
pre_train,50000,25538,25425,-,contig_0,114,-2.785156
pre_train,50000,25720,25535,-,contig_0,186,-6.923246
pre_train,50000,25926,25786,-,contig_0,141,-1.349432
pre_train,50000,26047,25910,-,contig_0,138,-2.886454
pre_train,50000,26201,26028,-,contig_0,174,-1.148477
pre_train,50000,26393,26259,-,contig_0,135,-2.51145
pre_train,50000,26536,26390,-,contig_0,147,-7.411152
pre_train,50000,26517,26672,+,contig_0,156,-6.667039
pre_train,50000,26679,26774,+,contig_0,96,-0.1438889
pre_train,50000,26842,28701,+,contig_0,1860,-3142665000.0
pre_train,50000,28735,31032,+,contig_0,2298,-191324900000.0
pre_train,50000,30992,31414,+,contig_0,423,-260.3207
pre_train,50000,31414,32916,+,contig_0,1503,-62829280.0
pre_train,50000,32918,33025,+,contig_0,108,-3.229011
pre_train,50000,33039,33578,+,contig_0,540,-122.9174
pre_train,50000,33712,33963,+,contig_0,252,-13.75384
pre_train,50000,33947,34366,+,contig_0,420,-174.6736
pre_train,50000,34368,34613,+,contig_0,246,-99.04699
pre_train,50000,34597,35184,+,contig_0,588,-359.4074
pre_train,50000,35273,35488,+,contig_0,216,-6.716036
pre_train,50000,35619,35792,+,contig_0,174,-0.1436573
pre_train,50000,35802,35921,+,contig_0,120,-0.1448309
pre_train,50000,36000,36092,+,contig_0,93,-0.07393719
pre_train,50000,36103,36192,+,contig_0,90,-0.1436672
pre_train,50000,36228,36332,+,contig_0,105,-0.2384752
pre_train,50000,36486,37061,+,contig_0,576,-3881.415
pre_train,50000,37257,37147,-,contig_0,111,-2.823631
pre_train,50000,37402,37289,-,contig_0,114,-2.110011
pre_train,50000,38151,37402,-,contig_0,750,-136.4767
pre_train,50000,38076,38564,+,contig_0,489,-210.2528
pre_train,50000,38579,39061,+,contig_0,483,-456.3062
pre_train,50000,39126,39359,+,contig_0,234,-14.35491
pre_train,50000,39371,39565,+,contig_0,195,-8.443008
pre_train,50000,39627,39998,+,contig_0,372,-947.0783
pre_train,50000,40031,40327,+,contig_0,297,-174.067
pre_train,50000,40317,40685,+,contig_0,369,-8.813789
pre_train,50000,40688,40915,+,contig_0,228,-25.67711
pre_train,50000,40964,41068,+,contig_0,105,-2.344158
pre_train,50000,41046,41663,+,contig_0,618,-861.0519
pre_train,50000,41650,41874,+,contig_0,225,-26.44659
pre_train,50000,41924,42037,+,contig_0,114,-0.6629897
pre_train,50000,42051,42293,+,contig_0,243,-19.82735
pre_train,50000,42862,42305,-,contig_0,558,-733.3942
pre_train,50000,43021,42899,-,contig_0,123,-0.1663659
pre_train,50000,43624,43073,-,contig_0,552,-392.9158
pre_train,50000,43906,43709,-,contig_0,198,-18.0716
pre_train,50000,44137,44015,-,contig_0,123,-0.06760242
pre_train,50000,44104,44826,+,contig_0,723,-414.9873
pre_train,50000,44823,44981,+,contig_0,159,-8.162346
pre_train,50000,44981,45070,+,contig_0,90,-4.269985
pre_train,50000,45110,45223,+,contig_0,114,-0.1787339
pre_train,50000,45384,46094,+,contig_0,711,-3657.791
pre_train,50000,46120,46371,+,contig_0,252,-19.97157
pre_train,50000,46371,46982,+,contig_0,612,-829.1504
pre_train,50000,46970,47467,+,contig_0,498,-252.9999
pre_train,50000,47476,48123,+,contig_0,648,-2203.549
pre_train,50000,49279,48137,-,contig_0,1143,-1199579.0
pre_train,50000,49455,49276,-,contig_0,180,-3.495042
pre_train,50000,49508,49636,+,contig_0,129,-0.106203
pre_train,50000,50000,49743,-,contig_0,258,-12.64034
pre_train,25000,336,1,-,contig_0,336,-50.70209
pre_train,25000,517,326,-,contig_0,192,-47.48474
pre_train,25000,760,542,-,contig_0,219,-138.2391
pre_train,25000,1020,757,-,contig_0,264,-114.7138
pre_train,25000,173,3,-,contig_1,171,-1.933248
pre_train,25000,394,170,-,contig_1,225,-22.21338
pre_train,25000,668,435,-,contig_1,234,-118.8117
pre_train,25000,1152,709,-,contig_1,444,-1282.468
pre_train,25000,1308,1216,-,contig_1,93,-1.28555
pre_train,25000,1744,1286,-,contig_1,459,-516.5921
pre_train,25000,1862,1755,-,contig_1,108,-0.1758495
pre_train,25000,2243,2007,-,contig_1,237,-534.4075
pre_train,25000,2197,2355,+,contig_1,159,-0.2859679
pre_train,25000,2480,2635,+,contig_1,156,-2.660155
pre_train,25000,3379,2918,-,contig_1,462,-2480.574
pre_train,25000,3684,3418,-,contig_1,267,-138.5434
pre_train,25000,3953,3720,-,contig_1,234,-75.74012
pre_train,25000,4092,3982,-,contig_1,111,-0.1028389
pre_train,25000,4590,4228,-,contig_1,363,-1356.869
pre_train,25000,5100,4603,-,contig_1,498,-2555.804
pre_train,25000,5837,5142,-,contig_1,696,-654738.0
pre_train,25000,5811,5912,+,contig_1,102,-0.2859635
pre_train,25000,5969,6079,+,contig_1,111,-1.296537
pre_train,25000,6603,6106,-,contig_1,498,-6104.192
pre_train,25000,6863,6648,-,contig_1,216,-44.21042
pre_train,25000,7001,6906,-,contig_1,96,-1.283034
pre_train,25000,7109,7005,-,contig_1,105,-0.118724
pre_train,25000,7500,7144,-,contig_1,357,-142.5991
pre_train,25000,8935,7592,-,contig_1,1344,-217225200000.0
pre_train,25000,9269,8940,-,contig_1,330,-1358.026
pre_train,25000,9680,9309,-,contig_1,372,-2326.009
pre_train,25000,10097,9822,-,contig_1,276,-119.6146
pre_train,25000,10587,10183,-,contig_1,405,-310.9016
