#id:	contig_0
#START	STOP	FRAME	CONTIG	SCORE
121	23	-	contig_0	-3.645442E-01
298	1026	+	contig_0	-3.850784E+06
986	1354	+	contig_0	-7.466420E+01
1423	1641	+	contig_0	-2.526597E+00
1734	1832	+	contig_0	-1.955313E-01
2002	1904	-	contig_0	-1.420587E+01
2230	2063	-	contig_0	-3.843810E+01
2816	2331	-	contig_0	-7.558010E+02
2786	2920	+	contig_0	-1.951124E+00
3014	3115	+	contig_0	-5.098719E+00
4305	3304	-	contig_0	-6.020231E+04
4482	4667	+	contig_0	-1.214795E+02
4789	4682	-	contig_0	-1.554049E-01
5145	4786	-	contig_0	-7.011647E+01
5404	5309	-	contig_0	-2.627791E+00
5363	5527	+	contig_0	-1.018148E+01
5532	6014	+	contig_0	-4.491724E+03
6007	6312	+	contig_0	-5.703617E+01
6707	6294	-	contig_0	-2.180968E+02
7146	6760	-	contig_0	-1.589719E+03
7505	7143	-	contig_0	-4.433451E+01
7878	7462	-	contig_0	-4.119134E+02
7900	7992	+	contig_0	-1.220362E-01
8046	8285	+	contig_0	-1.183771E+02
8342	8464	+	contig_0	-4.960164E+00
8507	8623	+	contig_0	-5.225058E-01
8694	8852	+	contig_0	-2.877471E+00
8852	9157	+	contig_0	-8.617127E+02
9144	9464	+	contig_0	-1.012984E+02
9481	9696	+	contig_0	-4.829627E+01
9755	10243	+	contig_0	-1.548808E+03
10314	10652	+	contig_0	-1.340799E+02
10823	11266	+	contig_0	-1.088206E+04
11315	11497	+	contig_0	-9.405325E+00
11490	12626	+	contig_0	-4.542523E+07
12766	13263	+	contig_0	-2.095731E+03
13263	13841	+	contig_0	-1.014000E+03
13838	14209	+	contig_0	-9.740788E+01
14225	14686	+	contig_0	-1.086556E+04
14688	14924	+	contig_0	-2.106369E+03
14980	15279	+	contig_0	-3.773013E+02
15376	15263	-	contig_0	-1.354816E+00
15474	15914	+	contig_0	-2.254086E+03
16007	16309	+	contig_0	-1.521978E+02
16306	16947	+	contig_0	-6.452738E+03
17015	17155	+	contig_0	-3.626884E-01
17234	17338	+	contig_0	-1.517360E+00
17479	17694	+	contig_0	-3.049945E+01
17701	18135	+	contig_0	-7.520619E+02
18092	18328	+	contig_0	-2.671426E+02
18370	18924	+	contig_0	-6.941886E+04
18939	19166	+	contig_0	-1.417466E+02
19197	19460	+	contig_0	-4.054237E+01
19513	20298	+	contig_0	-6.424793E+05
20340	20609	+	contig_0	-1.193817E+01
20612	21469	+	contig_0	-1.274559E+07
21557	22351	+	contig_0	-6.050582E+03
22305	22424	+	contig_0	-2.591855E+01
22449	23396	+	contig_0	-3.557688E+07
23450	24169	+	contig_0	-1.289960E+06
24170	24283	+	contig_0	-6.918978E-02
24293	24382	+	contig_0	-7.427314E-02
24533	24375	-	contig_0	-1.187464E+00
24573	24998	+	contig_0	-5.245473E+02
